WS50M,WS10M,WS100M,WS80M
4.21,2.47,6.12,5.687
4.64,2.67,6.76,6.269
5.58,3.11,7.702,7.117
5.96,3.32,8.07,7.449
5.57,3.17,7.783,7.194
5.4,3.06,7.6,7.027
5.42,3.05,7.596,7.011
5.6,3.09,7.897,7.275
5.88,3.22,8.34,7.677
6.19,3.37,8.863,8.153
6.42,3.49,9.202,8.46
6.76,3.68,9.671,8.889
7.12,3.85,10.213,9.391
7.6,4.06,10.761,9.888
8.33,4.49,11.572,10.627
8.6,4.6,11.851,10.883
8.63,4.6,11.968,10.992
9.03,4.78,12.53,11.501
9.26,4.9,12.921,11.857
9.41,4.95,13.108,12.028
9.56,5.05,13.29,12.194
9.64,5.08,13.476,12.364
9.59,5.03,13.51,12.399
9.18,4.81,13.138,12.067
8.88,4.64,12.892,11.849
8.33,4.37,12.324,11.337
7.6,3.98,11.454,10.55
6.34,3.31,10.13,9.352
4.17,2.28,7.869,7.312
2.88,1.6,5.859,5.478
3.03,1.67,5.68,5.297
3.19,1.66,6.222,5.797
2.88,1.5,6.039,5.633
2.64,1.45,5.631,5.254
2.68,1.52,5.462,5.095
2.79,1.63,5.423,5.059
3.23,1.92,5.596,5.213
4.14,2.28,6.428,5.963
4.57,2.5,7.293,6.762
4.68,2.54,7.682,7.122
3.35,1.84,6.615,6.157
3.12,1.68,6.126,5.701
3.17,1.67,5.899,5.486
3.18,1.66,5.934,5.513
3.07,1.55,5.713,5.311
3.15,1.57,5.502,5.113
3.59,1.8,6.067,5.637
3.71,1.98,6.164,5.74
3.21,1.82,5.733,5.357
3.36,1.84,6.183,5.767
3.74,2.05,6.857,6.385
3.98,2.17,7.169,6.67
4.09,2.18,7.249,6.738
3.8,1.99,6.865,6.385
3.61,1.41,6.507,6.026
3.81,1.7,6.707,6.21
3.5,1.76,6.382,5.932
3.25,1.83,5.976,5.573
2.87,1.75,5.407,5.067
2.56,1.55,4.795,4.518
2.8,1.27,4.719,4.418
3.18,1.22,4.808,4.479
3.28,1.23,4.819,4.481
3.19,1.17,4.637,4.311
3.03,1.12,4.43,4.121
3.21,1.29,4.849,4.501
2.9,1.36,4.794,4.467
2.74,1.36,4.748,4.431
2.47,1.33,4.515,4.22
2.66,1.42,4.738,4.419
2.6,1.41,4.574,4.28
2.64,1.53,4.536,4.252
3.0,1.71,4.909,4.589
3.7,2.04,5.69,5.296
3.84,2.15,6.037,5.62
3.62,2.03,5.82,5.424
3.58,2.03,5.854,5.45
3.99,2.25,6.324,5.877
4.41,2.49,6.898,6.396
4.77,2.71,7.397,6.853
5.07,2.9,7.781,7.21
5.35,3.05,8.197,7.589
5.51,3.13,8.45,7.821
5.68,3.25,8.816,8.157
5.79,3.33,9.245,8.553
5.89,3.39,9.327,8.627
5.97,3.45,9.676,8.947
5.38,3.21,9.166,8.495
5.21,2.94,8.716,8.075
6.28,3.38,9.194,8.488
5.75,3.13,8.509,7.864
5.38,2.93,8.0,7.399
5.17,2.77,7.697,7.118
4.75,2.57,7.177,6.645
4.34,2.39,6.667,6.187
3.78,2.2,5.969,5.559
3.43,2.03,5.448,5.085
3.22,1.93,5.128,4.791
3.27,1.92,5.057,4.719
3.26,1.88,5.023,4.682
2.8,1.64,4.721,4.416
3.15,1.78,5.219,4.867
4.55,2.28,7.01,6.483
6.77,3.36,9.519,8.747
7.98,4.12,11.374,10.446
8.59,4.49,12.698,11.671
7.98,4.2,12.362,11.384
7.69,4.0,11.945,11.002
7.37,3.84,11.596,10.685
7.2,3.75,11.43,10.535
7.1,3.71,11.398,10.509
6.93,3.6,11.199,10.326
6.77,3.49,10.997,10.14
5.85,3.01,10.052,9.283
5.48,2.72,9.52,8.788
5.13,2.57,8.985,8.297
5.11,2.52,8.694,8.019
5.25,2.54,8.663,7.98
5.29,2.6,8.572,7.906
4.93,2.57,8.118,7.519
5.18,2.72,8.54,7.91
5.14,2.81,8.477,7.858
4.7,2.63,7.944,7.376
4.21,2.39,7.366,6.852
3.81,2.15,6.87,6.401
3.4,1.83,6.393,5.96
3.12,1.3,6.018,5.586
3.15,1.54,5.925,5.514
3.74,1.65,6.606,6.116
3.46,1.63,6.177,5.733
3.46,1.41,5.95,5.516
3.51,1.15,5.862,5.42
3.59,1.18,5.722,5.288
3.8,1.67,5.635,5.214
4.04,1.92,6.022,5.568
4.04,2.1,6.339,5.863
3.88,2.08,6.232,5.768
3.71,1.8,5.96,5.515
3.66,1.68,5.815,5.381
3.75,1.66,6.025,5.571
4.05,1.82,6.615,6.109
4.14,1.84,6.975,6.438
3.98,1.86,6.866,6.358
3.8,1.89,6.574,6.113
3.64,1.89,6.437,5.994
3.73,1.98,6.652,6.196
4.14,2.18,7.147,6.648
4.36,2.3,7.546,7.013
4.13,2.24,7.293,6.783
3.67,2.02,6.613,6.162
3.75,1.78,6.629,6.147
4.18,1.68,7.18,6.627
4.05,1.86,6.992,6.464
3.4,1.6,6.499,6.025
3.28,1.62,6.37,5.917
3.14,1.43,6.194,5.762
3.1,1.47,6.047,5.631
3.17,1.34,6.031,5.61
3.41,1.42,6.21,5.769
3.58,1.68,6.382,5.926
3.8,1.91,6.638,6.16
4.02,2.05,6.956,6.453
4.26,2.2,7.261,6.73
4.57,2.35,7.572,7.009
5.04,2.59,8.166,7.544
4.86,2.51,8.216,7.599
4.86,2.49,8.314,7.698
4.96,2.56,8.519,7.894
4.9,2.58,8.678,8.051
4.81,2.6,9.029,8.387
5.13,2.76,9.565,8.879
5.25,2.83,9.626,8.935
5.24,2.82,9.468,8.786
4.92,2.63,8.856,8.222
4.93,2.57,8.497,7.875
5.19,2.69,8.694,8.044
5.5,2.87,9.038,8.356
5.68,2.96,9.319,8.612
5.76,2.99,9.504,8.783
5.91,3.06,9.745,9.004
6.08,3.14,9.973,9.211
6.17,3.16,10.162,9.383
6.18,3.17,10.236,9.452
6.08,3.12,10.148,9.373
6.01,3.07,10.167,9.39
5.88,2.98,10.065,9.298
5.39,2.73,9.482,8.768
4.99,2.53,8.976,8.31
4.76,2.39,8.629,7.991
4.3,2.17,8.124,7.532
3.95,2.05,7.647,7.106
3.52,1.94,7.176,6.69
4.28,2.24,7.97,7.408
4.61,2.49,8.161,7.58
4.36,2.43,7.842,7.292
4.07,2.3,7.441,6.926
3.81,2.15,7.07,6.586
3.31,1.87,6.438,6.008
2.49,1.17,5.328,4.975
2.92,1.42,5.692,5.3
3.04,1.45,5.965,5.547
2.71,1.37,5.523,5.155
2.31,1.25,5.043,4.726
2.15,1.15,4.866,4.563
1.97,1.02,4.646,4.356
1.47,0.78,3.968,3.744
1.08,0.57,3.452,3.275
0.91,0.36,3.245,3.082
1.02,0.34,3.221,3.056
1.17,0.44,3.258,3.093
1.4,0.57,3.439,3.261
1.66,0.74,3.656,3.46
1.95,0.88,3.91,3.689
2.19,0.96,3.989,3.761
2.0,0.98,3.856,3.636
1.3,0.79,3.281,3.125
1.48,0.84,3.696,3.504
2.02,1.16,4.339,4.089
2.49,1.48,4.862,4.565
2.72,1.62,5.149,4.828
2.99,1.75,5.516,5.162
2.97,1.65,5.651,5.283
2.86,1.25,5.559,5.173
3.2,1.55,5.95,5.539
3.05,1.55,5.762,5.378
2.85,1.64,5.409,5.073
2.68,1.66,5.066,4.769
2.44,1.54,4.64,4.383
2.27,1.44,4.336,4.104
2.07,1.35,4.047,3.842
1.95,1.29,3.815,3.635
2.05,1.3,3.959,3.764
2.13,1.16,4.117,3.894
2.26,1.29,4.21,3.981
2.4,1.44,4.335,4.093
2.57,1.5,4.509,4.244
2.81,1.55,4.711,4.42
3.16,1.3,5.157,4.802
3.28,1.41,5.225,4.87
2.46,1.38,4.378,4.119
2.41,1.36,4.814,4.519
2.81,1.6,5.558,5.204
3.25,1.84,5.956,5.565
3.06,1.77,5.595,5.235
2.89,1.71,5.183,4.854
3.0,1.73,5.195,4.856
3.41,1.45,5.755,5.328
4.28,1.56,7.006,6.453
4.24,1.48,7.076,6.519
4.09,1.52,6.817,6.289
3.76,1.42,6.351,5.87
3.61,1.38,6.08,5.624
3.65,1.32,6.168,5.7
3.83,1.38,6.269,5.789
3.86,1.42,6.102,5.647
3.78,1.37,5.888,5.456
3.43,1.53,5.478,5.103
3.06,1.88,5.015,4.721
2.99,2.01,4.877,4.607
3.15,2.11,5.011,4.726
3.45,2.21,5.33,5.011
3.55,2.17,5.59,5.232
3.47,1.41,5.644,5.244
2.44,1.29,4.33,4.062
1.87,1.16,3.508,3.319
2.64,1.5,4.416,4.139
2.74,1.58,4.576,4.289
2.52,1.44,4.347,4.082
2.27,1.21,3.987,3.75
2.18,1.02,3.776,3.547
2.89,1.16,4.213,3.938
3.86,1.94,5.044,4.717
4.15,1.77,5.536,5.155
4.1,1.77,5.678,5.288
4.0,1.86,5.694,5.31
3.84,2.16,5.481,5.141
3.68,2.27,5.289,4.982
3.57,2.3,5.183,4.896
3.48,2.3,5.094,4.822
3.31,2.24,4.892,4.642
2.98,2.07,4.478,4.268
2.59,1.85,3.989,3.82
2.56,1.84,3.92,3.756
2.99,2.09,4.371,4.167
3.58,2.39,4.98,4.716
4.03,2.55,5.46,5.139
4.14,1.84,5.804,5.39
3.02,1.39,4.677,4.359
2.43,1.41,3.943,3.703
3.15,1.8,4.848,4.524
3.22,1.89,5.074,4.736
3.01,1.8,4.937,4.616
3.1,1.75,5.081,4.743
3.32,1.47,5.538,5.141
3.64,1.32,6.065,5.602
3.96,1.81,6.338,5.874
3.9,1.94,6.248,5.811
3.85,1.96,6.183,5.758
3.86,1.98,6.233,5.806
3.71,1.99,6.128,5.717
3.34,2.08,5.701,5.356
3.17,2.11,5.42,5.113
3.61,2.29,5.896,5.537
4.06,2.35,6.431,6.003
4.09,2.34,6.414,5.985
4.14,2.08,6.473,6.014
4.07,1.95,6.445,5.98
4.03,1.8,6.416,5.946
3.62,1.47,5.957,5.521
3.23,1.33,5.436,5.051
2.89,1.32,5.014,4.675
1.79,1.13,3.676,3.486
2.1,1.24,3.852,3.633
2.81,1.68,4.559,4.268
3.04,1.85,4.834,4.52
3.06,1.88,4.886,4.569
2.93,1.8,4.791,4.485
2.92,1.68,4.83,4.516
3.31,1.2,5.345,4.951
4.36,1.46,6.524,6.018
4.68,1.55,7.108,6.544
4.56,1.72,7.168,6.609
4.32,1.78,7.027,6.49
3.39,1.77,6.162,5.722
2.68,1.6,5.406,5.044
2.62,1.51,5.136,4.798
2.47,1.4,4.852,4.539
2.32,1.23,4.547,4.271
2.3,1.05,4.474,4.19
2.31,1.13,4.426,4.158
2.47,1.3,4.773,4.474
2.51,1.27,5.037,4.72
2.19,0.92,4.806,4.511
1.78,0.81,4.31,4.054
1.41,0.87,3.575,3.405
0.67,0.52,2.431,2.36
0.67,0.39,2.856,2.743
1.64,0.95,4.233,4.004
2.14,1.24,4.975,4.686
2.19,1.29,5.326,5.016
1.7,0.97,4.974,4.704
1.75,0.89,4.547,4.296
2.64,1.18,5.131,4.792
3.34,1.37,5.984,5.542
3.6,1.53,6.339,5.865
3.6,1.54,6.443,5.962
